trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R51WSP007,16:36:00,16:36:00,31A,9,,
R51WSP007,16:40:00,16:40:00,25A,10,,
R51WSP007,16:42:00,16:42:00,03A,11,,
R51WSP007,16:45:00,16:45:00,02D,12,,
R51WSP007,16:50:00,16:50:00,01F,13,,
R51WSP007,16:54:00,16:54:00,29A,14,,
R51WSP007,17:01:00,17:01:00,32A,15,,
R51WSP007,17:08:00,17:08:00,17F,16,,
R51WSP007,17:13:00,17:13:00,19A,17,,
R51WSP007,17:17:00,17:17:00,20A,18,,
R51WSP007,17:22:00,17:22:00,21A,19,,
R51WSP008,21:04:00,21:04:00,24C,1,,
R51WSP008,21:09:00,21:09:00,26A,2,,
R51WSP008,21:11:00,21:11:00,28A,3,,
R51WSP008,21:16:00,21:16:00,31A,4,,
R51WSP008,21:20:00,21:20:00,25A,5,,
R51WSP008,21:25:00,21:25:00,02D,6,,
R51WSP008,21:30:00,21:30:00,01F,7,,
R51WSP008,21:34:00,21:34:00,29A,8,,
R51WSP008,21:41:00,21:41:00,32A,9,,
R51WSP008,21:48:00,21:48:00,17F,10,,
R51WSP008,21:53:00,21:53:00,19A,11,,
R51WSP008,21:57:00,21:57:00,20A,12,,
R51WSP008,22:02:00,22:02:00,21A,13,,
R51WSP009,23:45:00,23:45:00,02D,1,,
R51WSP009,23:50:00,23:50:00,01F,2,,
R51WSP009,23:54:00,23:54:00,29A,3,,
R51WSP009,24:01:00,24:01:00,32A,4,,
R51WSP009,24:08:00,24:08:00,17F,5,,
R51WSP009,24:13:00,24:13:00,19A,6,,
R51WSP009,24:17:00,24:17:00,20A,7,,
R51WSP009,24:22:00,24:22:00,21A,8,,
R51WSL001,4:34:00,4:34:00,24C,1,,
R51WSL001,4:39:00,4:39:00,26A,2,,
R51WSL001,4:41:00,4:41:00,28A,3,,
R51WSL001,4:46:00,4:46:00,31A,4,,
R51WSL001,4:50:00,4:50:00,25A,5,,
R51WSL001,4:55:00,4:55:00,02D,6,,
R51WSL001,4:58:00,4:58:00,01A,7,,
R51WSL002,4:54:00,4:54:00,24C,1,,
R51WSL002,4:59:00,4:59:00,26A,2,,
R51WSL002,5:01:00,5:01:00,28A,3,,
R51WSL002,5:06:00,5:06:00,31A,4,,
R51WSL002,5:10:00,5:10:00,25A,5,,
R51WSL002,5:15:00,5:15:00,02D,6,,
R51WSL002,5:20:00,5:20:00,01F,7,,
R51WSL002,5:24:00,5:24:00,29A,8,,
R51WSL002,5:31:00,5:31:00,32A,9,,
R51WSL002,5:38:00,5:38:00,17F,10,,
R51WSL002,5:43:00,5:43:00,19A,11,,
R51WSL002,5:47:00,5:47:00,20A,12,,
R51WSL002,5:52:00,5:52:00,21A,13,,
R51WSL003,5:44:00,5:44:00,24C,1,,
R51WSL003,5:49:00,5:49:00,26A,2,,
R51WSL003,5:51:00,5:51:00,28A,3,,
R51WSL003,5:56:00,5:56:00,31A,4,,
R51WSL003,6:00:00,6:00:00,25A,5,,
R51WSL003,6:05:00,6:05:00,02D,6,,
R51WSL003,6:10:00,6:10:00,01F,7,,
R51WSL003,6:14:00,6:14:00,29A,8,,
R51WSL003,6:21:00,6:21:00,32A,9,,
R51WSL003,6:28:00,6:28:00,17F,10,,
R51WSL003,6:33:00,6:33:00,19A,11,,
R51WSL003,6:37:00,6:37:00,20A,12,,
R51WSL003,6:42:00,6:42:00,21A,13,,
R51WSL004,6:20:00,6:20:00,21A,1,,
R51WSL004,6:30:00,6:30:00,30A,2,,
R51WSL004,6:37:00,6:37:00,22A,3,,
R51WSL004,6:39:00,6:39:00,23A,4,,
R51WSL004,6:42:00,6:42:00,27A,5,,
R51WSL004,6:44:00,6:44:00,24C,6,,
R51WSL004,6:49:00,6:49:00,26A,7,,
R51WSL004,6:51:00,6:51:00,28A,8,,
R51WSL004,6:56:00,6:56:00,31A,9,,
R51WSL004,7:00:00,7:00:00,25A,10,,
R51WSL004,7:02:00,7:02:00,03A,11,,
R51WSL004,7:05:00,7:05:00,02D,12,,
R51WSL004,7:10:00,7:10:00,01F,13,,
R51WSL004,7:14:00,7:14:00,29A,14,,
R51WSL004,7:21:00,7:21:00,32A,15,,
R51WSL004,7:28:00,7:28:00,17F,16,,
R51WSL004,7:33:00,7:33:00,19A,17,,
R51WSL004,7:37:00,7:37:00,20A,18,,
R51WSL004,7:42:00,7:42:00,21A,19,,
